region,district,area
Ahafo,Asunafo South,Suikrom
Ahafo,Asunafo South,Esuworobo
Ahafo,Asunafo South,Bemnano
Ahafo,Unknown,Dijini
Ahafo,Asunafo South,Kumuso
Western North,Juaboso,Kwamuikrom
Western North,Juaboso,Esuepri
Western North,Juaboso,Komeni
Ahafo,Asunafo South,Akotiakrom
Ahafo,Asunafo South,Soroso
Western North,Juaboso,Ebenebepo
Western North,Juaboso,Bucheto
Western North,Juaboso,Eframbo
Western North,Juaboso,Eduienya
Western North,Juaboso,Akroafu
Ahafo,Asunafo South,Ebuakrom
Western North,Juaboso,Koroakakrom
Ahafo,Asunafo South,Pataboabo
Western North,Juaboso,Aomasu
Western North,Juaboso,Bunukrom
Western North,Sefwi-Wiawso,Trokobutu
Ahafo,Asunafo South,Nyanokrom
Ahafo,Asunafo South,Kuntukrom
Ahafo,Unknown,Anwiasu
Ahafo,Asunafo South,Anwiahu
Ahafo,Asunafo South,Kwaminkrom
Ahafo,Asunafo South,Afuduom
Western North,Sefwi-Wiawso,Nyamiadisa
Ahafo,Asunafo South,Nsuentem
Ahafo,Asunafo South,Oforikrom
Ahafo,Asunafo South,Atobiasi
Ahafo,Asunafo South,Yayaso
Ahafo,Asunafo South,Duakrom
Ahafo,Unknown,Yayasu
Ahafo,Asunafo South,Yaosamwakrom
Ahafo,Asunafo South,Aboaboso
Ahafo,Asunafo South,Yayasu
Ahafo,Asunafo South,Bodumasi
Ahafo,Asunafo South,Kwachikrom
Ahafo,Asunafo South,Asumasu
Ahafo,Asunafo South,Kojoamwakrom
Ahafo,Asunafo South,Bensupata
Ahafo,Asunafo South,Adukru
Ahafo,Unknown,Setiesua
Ahafo,Asunafo South,Kofiekrom
Ahafo,Asunafo South,Asantikrom
Ahafo,Asunafo North,Mpamasi
Ahafo,Asunafo North,Odumasi
Ahafo,Asunafo South,Kwambodukrom
Ahafo,Asunafo North,Buampomkrom
Ahafo,Asunafo South,Yemitio
Ahafo,Asunafo South,Amanasi
Ahafo,Asunafo South,Emesu
Ahafo,Asunafo South,Kojotebrikrom
Ahafo,Asunafo South,Abisua
Ahafo,Asunafo South,Kwakutekofikrom
Ahafo,Asunafo South,Mopom
Ahafo,Asunafo South,Kwampukukrom
Ahafo,Unknown,Atabini
Ahafo,Asunafo South,Atabini
Ahafo,Asunafo South,Afoso
Ahafo,Unknown,Yebuawura
Ahafo,Asunafo South,Kosiadekrom
Ahafo,Asunafo South,Aboabo
Ahafo,Asunafo South,Domiabra
Ahafo,Asunafo North,Yakankakrom
Ahafo,Asunafo North,Nibiriba
Ahafo,Unknown,Botochwi
Ahafo,Unknown,Wurakesie
Ahafo,Asunafo North,Kojinakrom
Ahafo,Asunafo North,Atakrom
Ahafo,Asunafo North,Aboso
Ahafo,Asunafo North,Asufufuo
Ahafo,Asunafo North,Efirimkrom
Ahafo,Asunafo North,Kwabinamenukrom
Ahafo,Unknown,Abetiniwuom
Ahafo,Asunafo North,Nfakefehu
Ahafo,Asunafo South,Kwamuikrom
Ahafo,Asunafo North,Oseikrom
Ahafo,Asunafo North,Tanyamasi
Ahafo,Unknown,Kwadai
Ahafo,Unknown,Tanyama
Ahafo,Unknown,Kanchiamua
Ahafo,Asunafo North,Kanchiamua
Ahafo,Asunafo South,Twapiasi
Ahafo,Unknown,Chiriben
Ahafo,Unknown,Kwamasu
Ahafo,Unknown,Tawiasu
Ahafo,Asunafo South,Mem
Ahafo,Asunafo North,Aboajikrom
Ahafo,Unknown,Bonkawkaw
Ahafo,Asunafo North,Chiriben
Ahafo,Unknown,Ajurasu
Ahafo,Asunafo North,Famanyami
Ahafo,Asunafo North,Wawasi
Ahafo,Asunafo South,Kofiadomakrom
Ahafo,Asunafo South,Nyamibechire
Ahafo,Unknown,Detioi
Ahafo,Unknown,Opriasua
Ahafo,Unknown,Kawtoa
Ahafo,Asunafo North,Bitri
Ahafo,Asunafo North,Chuaso
Ahafo,Asunafo North,Atobiasi
Ahafo,Asunafo North,Kofiapiakrom
Ahafo,Unknown,Chua
Ahafo,Asunafo North,Ajoafra
Ahafo,Asunafo North,Anankaso
Ahafo,Asunafo North,Aframso
Ahafo,Asunafo North,Abonyirede
Ahafo,Asunafo North,Eburaso
Ahafo,Asunafo North,Atabokrom
Ahafo,Asunafo North,Akodida
Ahafo,Asunafo North,Kwaminajakrom
Ahafo,Asunafo North,Jenkuninu
Ahafo,Asunafo North,Tiotam
Ahafo,Asunafo North,Apapiem
Ahafo,Asunafo North,Fowa
Ahafo,Asunafo North,Boposo
Ahafo,Asunafo North,Ewiakrom
Ahafo,Asunafo North,Sapong
Ahafo,Asunafo North,San
Ahafo,Asunafo North,Kwakuakosan
Ahafo,Asunafo North,Kasikrom
Ahafo,Asunafo North,Mohu
Ahafo,Asunafo North,Kwesimensakrom
Ahafo,Asunafo North,Ejumun
Ahafo,Asunafo North,Inhiem
Ahafo,Asunafo North,Kasi
Ahafo,Asunafo North,Kwaminadiakrom
Ahafo,Asunafo North,Kwaminasantikrom
Ahafo,Asunafo North,Tadeaso
Ahafo,Asunafo North,Achichidia
Ahafo,Asunafo North,Botiasi
Ahafo,Asunafo North,Atichem
Ahafo,Asunafo North,Bodiakrom
Ahafo,Asunafo North,Ahantera
Ahafo,Asunafo North,Kobnawusakrom
Ahafo,Asunafo North,Kojokrom
Ahafo,Asunafo North,Kofidonkokrom
Ahafo,Asunafo North,Akwodro
Ahafo,Asunafo North,Atasi
Ahafo,Asunafo North,Akutuasi
Ahafo,Asunafo North,Nintire
Ahafo,Asunafo North,Manpehia
Ahafo,Asunafo North,Adedeasi
Ahafo,Asunafo North,Yaokontawkrom
Ahafo,Unknown,Apinsu
Ahafo,Asunafo North,Kwamineabukrom
Ahafo,Asunafo North,Cherasi
Ahafo,Asunafo North,Katekutu
Ahafo,Asunafo North,Twineboah
Ahafo,Asunafo North,Kwakuasua
Ahafo,Asunafo North,Yaoseikrom
Ahafo,Asutifi,Muntiasem
Ahafo,Asutifi,Nobem
Ahafo,Unknown,Asuna
Ahafo,Asutifi,Asuna
Ahafo,Asunafo North,Asukese
Ahafo,Asutifi,Wabrasi
Ahafo,Asutifi,Adukwadjo
Ahafo,Asunafo North,Bemaha
Ahafo,Asunafo North,Boasikrom
Ahafo,Asunafo North,Esiasi
Ahafo,Asutifi,Adianibre
Ahafo,Asunafo North,Kwiboa
Ahafo,Asunafo North,Buhen
Ahafo,Asunafo North,Tokrom
Ahafo,Unknown,Awisesa
Ahafo,Asunafo North,Awisesuaja
Ahafo,Asunafo North,Bomaha
Ahafo,Unknown,Chreme
Ahafo,Unknown,Bomaha
Ahafo,Asunafo North,Nyamebechire
Ahafo,Asunafo North,Awisesuana
Ahafo,Asunafo North,Kwabinakawkawkrom
Ahafo,Asunafo North,Jinsa
Ahafo,Asunafo North,Angomasu
Ahafo,Asunafo North,Asuantamu
Ahafo,Asunafo North,Yawnantiekrom
Ahafo,Asunafo North,Bamuha
Ahafo,Asunafo North,Kawkawtiasua
Ahafo,Unknown,Angomasu
Ahafo,Asunafo North,Edimanso
Ahafo,Asutifi South,Gawja
Ahafo,Asutifi South,Angomasu
Ahafo,Asunafo North,Kwamiadjeikrom
Ahafo,Asutifi South,Goaja
Ahafo,Asunafo North,Kofiwirekrom
Ahafo,Asutifi South,Beseasi
Ahafo,Asunafo North,Kojobofakrom
Ahafo,Asunafo North,Kofimanukrom
Ahafo,Unknown,Ankamsuo
Ahafo,Asunafo North,Naokrom
Ahafo,Asutifi South,Ntontinta
Ahafo,Unknown,Ntontinta
Ahafo,Asunafo North,Bredi
Ahafo,Asutifi South,Kojoboamponkrom
Ahafo,Asutifi South,Bonkro
Ahafo,Asutifi South,Kwajomensa
Ahafo,Asutifi South,Asukese
Ahafo,Asunafo North,Tiafukrom
Ahafo,Unknown,Nfumpensua
Ahafo,Asunafo North,Kojotumfakrom
Ahafo,Asunafo North,Nsensem
Ahafo,Asunafo North,Yawmensakrom
Ahafo,Asunafo North,Dupri
Ahafo,Asunafo North,Beseasi
Ahafo,Asunafo North,Adumasa
Ahafo,Unknown,Sabi
Ahafo,Unknown,Kobosuo
Ahafo,Asunafo North,Yawboatinkrom
Ahafo,Asunafo North,Mitinyameati
Ahafo,Asunafo North,Goanu
Ahafo,Asutifi South,Sikampenonika
Ahafo,Asunafo North,Kasimkrom
Ahafo,Asutifi South,Aponapon
Ahafo,Unknown,Onyinasusuo
Ahafo,Asunafo North,Onyinasusuo
Ahafo,Unknown,Apesika
Ahafo,Asutifi South,Apesika
Ahafo,Asunafo North,Bonkuni
Ahafo,Asunafo North,Kobnakusikrom
Ahafo,Unknown,Ahunjo
Ahafo,Asunafo North,Ahunjo
Ahafo,Unknown,Kontanwura
Ahafo,Unknown,Ajebe
Ahafo,Unknown,Dihinidasuo
Ahafo,Asunafo North,Asasika
Ahafo,Asunafo North,Kofichikrom
Ahafo,Unknown,Dechem
Ahafo,Asunafo North,Dechem
Ahafo,Asunafo North,Bojiasi
Ahafo,Asunafo North,Mamainsua
Ahafo,Asunafo North,Amemensua
Ahafo,Asunafo North,Akuminekrom
Ahafo,Asunafo North,Nfamba
Ahafo,Asunafo South,Sisakrom
Ahafo,Asunafo North,Ebaw
Ahafo,Unknown,Chamiesua
Ahafo,Unknown,Fahoiden
Bono,Unknown,Asuproye
Bono,Unknown,Kyeremasu
Bono,Unknown,Achochobosu
Bono,Unknown,Bofitire
Bono,Dormaa East,Nyameani
Bono,Dormaa,Kwasikonto
Bono,Dormaa East,Bofitire
Bono,Dormaa East,Pokukumakurom
Bono,Dormaa East,Ahotosoo
Bono,Dormaa East,Achochoboso
Bono,Unknown,Pundadiasu
Bono,Dormaa East,Asuadee
Bono,Unknown,Dim Pimanu
Bono,Dormaa East,Apeakurom
Bono,Dormaa East,Amanfe
Bono,Dormaa East,Sentinsu
Bono,Dormaa East,Aponaponoso Number One
Bono,Dormaa,Wamho Number One
Bono,Dormaa East,Karikarikurom
Bono,Dormaa East,Yerusalem
Bono,Unknown,Sentinasu
Bono,Dormaa East,Kwakunyamekurom
Bono,Unknown,Kwekuasua
Bono,Unknown,Chishio
Bono,Unknown,Abontinsua
Bono,Dormaa East,Kwadwosiawkurom
Bono,Dormaa East,Kofitabirikurom
Bono,Dormaa East,Yeboakurom
Bono,Unknown,Awahasu
Bono,Unknown,Nyinasinasi
Bono,Dormaa,Asukokoo
Bono,Dormaa,Asukoko
Bono,Dormaa East,Pruhuru
Ahafo,Asutifi,Manhyia Number Two
Ahafo,Asutifi,Biaso-Kasapui
Ahafo,Asutifi,Buokukuruwakurom
Ahafo,Asutifi,Kwamewirukurom
Ahafo,Asutifi,Nmoframfadwene
Ahafo,Asutifi,Werekokurom
Ahafo,Asutifi,Krakyekurom
Ahafo,Asutifi,Agrave
Ahafo,Asutifi,Onyinase
Ahafo,Unknown,Kakawere
Ahafo,Asutifi,Gambia Number One
Ahafo,Asutifi,Nchensiakora
Ahafo,Unknown,Mintiminim
Ahafo,Asutifi,Nsuta
Ahafo,Unknown,Esonasua
Ahafo,Asutifi,Kwamemensakurom
Ahafo,Asutifi,Yawbadukurom
Bono,Dormaa East,Kyeakurom
Bono,Dormaa East,Yawbarimakurom
Bono,Dormaa East,Kwakukusikurom
Bono,Dormaa East,Kwasibadukurom
Bono,Dormaa East,Aduyawkurom
Bono,Unknown,Asrakua
Bono,Dormaa East,Asamoakurom
Bono,Unknown,Asudadai
Bono,Unknown,Jupro
Bono,Dormaa East,Akotokurom
Bono,Dormaa East,Praprababido
Bono,Dormaa East,Akomfe
Ahafo,Asutifi,Gooso
Ahafo,Asutifi,Koforidua
Ahafo,Asutifi,Kwasiantwikurom
Ahafo,Asutifi,New Tokorom
Ahafo,Asutifi,Abenaakukurom
Ahafo,Asutifi,Yakubakurom
Bono,Dormaa,Isuhiei
Bono,Dormaa,Wamano One
Bono,Unknown,Nsuhiei
Bono,Dormaa East,Ahotoso
Bono,Dormaa East,Pruhru
Bono,Dormaa East,Nuntua
Bono,Dormaa,Apiakrom
Bono,Dormaa East,Mintiminim
Bono,Dormaa East,Atabrikrom
Bono,Dormaa East,Apiakrom
Bono,Dormaa East,Kwasianiajen
Bono,Dormaa,Atakrom
Bono,Unknown,Nsuahaw
Ahafo,Asutifi,Ymekrom
Ahafo,Asutifi,Antobia
Ahafo,Asutifi,Tanawnsua
Ahafo,Asutifi,Boayekrom
Ahafo,Asutifi,Makrom
Ahafo,Asunafo North,Kwaminbaidukrom
Ahafo,Asunafo North,Chiniase
Ahafo,Asutifi,Nsutam
Ahafo,Asutifi,Awansusa
Ahafo,Asutifi,Awaham
Ahafo,Asutifi,Esunasua
Ahafo,Asutifi,Nyinakonton
Ahafo,Asutifi,Aboabo
Ahafo,Asutifi,Esunuso
Bono,Unknown,Nsuhumasu
Bono,Unknown,Aboabo
Bono,Dormaa East,Kwamisakrom
Ahafo,Asutifi,Asukese
Ahafo,Asutifi,Apenamadi
Ahafo,Unknown,Esunsu
Ahafo,Asutifi,Asukesi
Bono,Dormaa East,Kwamimprakrom
Bono,Dormaa East,Oseikwajokrom
Bono,Dormaa East,Beseasi
Bono,Dormaa East,Kwakuayensukrom
Bono,Dormaa East,Bojampa
Bono,Dormaa East,Biaso
Bono,Dormaa East,Jadieso
Bono,Dormaa East,Yaobofokrom
Bono,Dormaa East,Tadieso
Ahafo,Asutifi,Framoasi
Ahafo,Asutifi,Tiaiaso
Ahafo,Asutifi,Twiwaso
Ahafo,Asutifi,Dotiem
Ahafo,Asutifi,Prabonso
Ahafo,Asutifi,Nadaem
Ahafo,Asutifi,Anonti
Ahafo,Asutifi,Bonjeminim
Ahafo,Asutifi,Kwaduasua
Ahafo,Asutifi,Akutuasi
Ahafo,Asutifi,Krofrom
Ahafo,Unknown,Kentewari
Ahafo,Asutifi,Nwerem
Ahafo,Asutifi,Secherepom
Ahafo,Asutifi,Juaho
Ahafo,Asutifi,Bewodie
Ahafo,Asutifi,Ataboakrom
Ahafo,Asutifi,Nyinahema
Ahafo,Asutifi,Goaso
Ahafo,Asutifi,Tariem
Ahafo,Asutifi,Bosie
Ahafo,Asutifi,Tenesua
Ahafo,Asutifi,Abebeso
Ahafo,Asutifi,Suntriso
Bono,Dormaa East,Bomoden
Ahafo,Asutifi,Kenyaase Camp
Bono,Dormaa East,Aponaponoso Number Two
Bono,Unknown,Supon
Central,Abura/Asebu/Kwamankese,Fort Nassau
Greater Accra,Ga South,Mandela
Eastern,Kwahu West,Nkawkaw
Greater Accra,Ga East,Taifa
Upper East,Bawku West,Tarikom
Upper East,Bawku Municipal District,Timonde
Upper East,Bawku West,Widnaba
Upper East,Pusiga,Bulungu
Upper East,Pusiga,Pulmakom
Upper East,Binduri District,Issaka Tenga
Upper East,Nabdam,Tumux
Central,Cape Coast,Fort William Lighthouse
Upper East,Kassena Nankana West,Badunu
Upper East,Kassena Nankana West,Baloo
Upper East,North Builsa District,Akutiayeri
Upper East,North Builsa District,Awulansa
Upper East,Kassena Nankana,Bundunia
Upper East,Kassena Nankana,Budunga
Upper East,Kassena Nankana West,Nyangania
Upper East,Kassena Nankana,Akurugu
Upper East,Kassena Nankana,Abenpengu
Upper East,Kassena Nankana,Byunaa
Upper East,North Builsa District,Achanyeri
Upper East,North Builsa District,Apentusa
Upper East,Kassena Nankana,Nyangua
Upper East,Kassena Nankana West,Kafania
Upper East,Kassena Nankana West,Binania
Upper East,Kassena Nankana West,Dedoro Forest Reserve
Upper East,Kassena Nankana West,Nania
Upper East,Kassena Nankana West,Yimambolo
Upper East,Kassena Nankana,Atankwidi Forest Reserve
Upper East,Kassena Nankana,Chilo
Upper East,Kassena Nankana West,Kamberu
Upper East,Kassena Nankana,Bawio
Upper East,Kassena Nankana West,Kuliya
Upper East,Kassena Nankana West,Tankara Forest Reserve
Upper East,Kassena Nankana,Daboo
Upper East,Kassena Nankana,Mangnoro
Upper East,North Builsa District,Chomdema
Upper East,Kassena Nankana,Gongenia
Upper East,North Builsa District,Chief's Farm
Upper East,Kassena Nankana,Nawogenia
Upper East,Kassena Nankana,Layanga
Upper East,Kassena Nankana,Diburabolo
Upper East,Kassena Nankana,Telania
Upper East,Kassena Nankana,Gean
Upper East,Kassena Nankana,Kuleningo
Upper East,Kassena Nankana West,Betiu
Upper East,Kassena Nankana West,Nakolo
Upper East,Kassena Nankana,Punyoro
Upper East,Kassena Nankana,Kazigo
Upper East,Kassena Nankana,Kulnaba
Upper East,North Builsa District,Azuayeri
Upper East,Kassena Nankana,Aminlera
Upper East,Kassena Nankana West,Chasi Hills Forest Reserve
Upper East,Kassena Nankana West,Sakaa
Upper East,Garu District,Kuldakpenga
Upper East,Garu District,Atamidabogo
Upper East,Binduri District,Kolpeligo
Upper East,Garu District,Ziseri
Upper East,Garu District,Tamne Forest Reserve
Upper East,Garu District,Bugpiigu
Upper East,Garu District,Puanaba
Upper East,Garu District,Kambonga
Upper East,Garu District,Gagbiri
Upper East,Unknown,Kulumasugu
Upper East,Unknown,Dekuliga
Upper East,Garu District,Zari
Upper East,Garu District,Bulpielisi
Upper East,Bawku West,Byengo
Upper East,Binduri District,Abuse
Upper East,Bawku West,Zorsi
Upper East,Binduri District,Anyelisimbogokulnaba
Upper East,Bawku West,Red Volta East Forest Reserve
Upper East,Garu District,Kubago
Upper East,Bawku West,Ampkaliga
Upper East,Bawku West,Natinga Kopella
Upper East,Bawku West,Aganikuliga
Upper East,Bawku West,Sambolekuliga
Upper East,Bawku West,Dugobibisi
Upper East,Garu District,Mennatinga
Upper East,Bawku West,Kperigu
Upper East,Binduri District,Kobribok
Upper East,Bawku West,Aramkoliga
Upper East,Bawku West,Sulaga
Upper East,Bawku West,Surinyanga
Upper East,Nabdam,Namoorantenga
Upper East,Nabdam,Bakuloga
Upper East,Nabdam,Kulubili
Upper East,Nabdam,Kuldatintare
Upper East,Talensi-Nabdam,Dusi Nayiri
Upper East,Talensi-Nabdam,Dusi Bulbuog
Upper East,Talensi-Nabdam,Dusi Damol Tindongo
Upper East,Talensi-Nabdam,Yazore Kpatia
Upper East,Talensi-Nabdam,Kuldaga
Upper East,Talensi-Nabdam,Ndongo
Upper East,Nabdam,Dalinga Bulbisi
Upper East,Nabdam,Damulugu Dazamdabo
Upper East,Nabdam,Bagabila
Upper East,Nabdam,Benzure Baarabook
Upper East,Talensi-Nabdam,Dalabog
Upper East,Nabdam,Kparabog
Upper East,Nabdam,Akugosi
Upper East,Nabdam,Kalini
Upper East,Nabdam,Tiikoloo
Upper East,Nabdam,Nangodi Yakoti
Upper East,Nabdam,Nakpaliga
Upper East,Nabdam,Nangodi Kalini Soliga
Upper East,Bawku West,Naman
Upper East,Bawku West,Kanre
Upper East,Unknown,Zoroog
Upper East,Bongo District,Soe Arabe
Upper East,Nabdam,Red Volta West Forest Reserve
Upper East,Nabdam,Sekoti Kparabogo
Upper East,Nabdam,Sekoti Dasanga
Upper East,Nabdam,Sekoti Kotentabiga
Upper East,Nabdam,Kongo Adusabisi
Upper East,Bawku West,Gberi Tili
Northern,Savelugu Municipal District,Janjuri
Northern,Savelugu Municipal District,Vawamba
Northern,Kumbumgu,Gbansogo
Northern,Savelugu Municipal District,Bunlung-Yapalsi
Northern,Savelugu Municipal District,Nyantingili
Northern,Savelugu Municipal District,Kpaliyogu
Northern,Savelugu Municipal District,Sankpem
Northern,Savelugu Municipal District,Laligu
Northern,Savelugu Municipal District,Botingli
Northern,Savelugu Municipal District,Yemo
Northern,Sagnerigu,Demankonyili
Northern,Savelugu Municipal District,Dungwani
Northern,Savelugu Municipal District,Yilikpani
Northern,Kumbumgu,Kosibo
Northern,Sagnerigu,Bokurugu
Northern,Savelugu Municipal District,Yepalsi
Northern,Kumbumgu,Logoshiegu
Northern,Savelugu Municipal District,Kyehiyili
Northern,Savelugu Municipal District,Zaasi
Northern,Savelugu Municipal District,Grusiya
Northern,Savelugu Municipal District,Kpaduzugu
Northern,Kumbumgu,Dinyakpaligu
Northern,Savelugu Municipal District,Danbee
Northern,Savelugu Municipal District,Bihinayili
Northern,Sagnerigu,Surugu
Northern,Kumbumgu,Yezehe
Northern,Savelugu Municipal District,Lagbani
Northern,Savelugu Municipal District,Yong
Northern,Kumbumgu,Piegu-Yipelgu
Northern,Savelugu Municipal District,Afaya
Northern,Kumbumgu,Nakpatua
Northern,Kumbumgu,Kafehiyili
Northern,Kumbumgu,Mable
Northern,Savelugu Municipal District,Duko
Northern,Savelugu Municipal District,Tooteyili
Northern,Savelugu Municipal District,Libga
Northern,Kumbumgu,Silinboma
Northern,Savelugu Municipal District,Tibale
Northern,Savelugu Municipal District,Peli
Northern,Savelugu Municipal District,Kpalagalanyili
Northern,Kumbumgu,Shedua
Northern,Kumbumgu,Boggo
Northern,Savelugu Municipal District,Nyatua
Northern,Kumbumgu,Fando
Northern,Savelugu Municipal District,Botoyili
Northern,Kumbumgu,Yipienavili
Northern,Savelugu Municipal District,Bungbum
Northern,Savelugu Municipal District,Chapalegu
Northern,Savelugu Municipal District,Kpendua
Northern,Kumbumgu,Zangbalanbihi
Northern,Kumbumgu,Chansogu
Northern,Kumbumgu,Begurugu
Northern,Kumbumgu,Bihinayili
Northern,Kumbumgu,Yipeligu
Northern,Savelugu Municipal District,Yipelgu
Northern,Savelugu Municipal District,Sansee
Northern,Savelugu Municipal District,Kpongnayili
Northern,Kumbumgu,Kpelum
Northern,Savelugu Municipal District,Yiwogo
Northern,Kumbumgu,Timonayili
Northern,Sagnerigu,Kogni
Northern,Savelugu Municipal District,Fazihini
Northern,Kumbumgu,Gbugli
Northern,Savelugu Municipal District,Nyoglo
Northern,Savelugu Municipal District,Teplinayili
Northern,Savelugu Municipal District,Tumahi
Northern,Savelugu Municipal District,Kpaliyokuko
Northern,Savelugu Municipal District,Sahanayili
Northern,Savelugu Municipal District,Kpachelo
Northern,Savelugu Municipal District,Kyalam
Northern,Savelugu Municipal District,Tamale Fuelwood Forest Reserves
Northern,Kumbumgu,Dulizugu
Northern,Kumbumgu,Tigu-Nyorun
Northern,Savelugu Municipal District,Nyeregeyili
Northern,Savelugu Municipal District,Boggo
Northern,Kumbumgu,Zugudaboni
Northern,Sagnerigu,Batanayiri
Northern,Kumbumgu,Ginjani
Northern,Savelugu Municipal District,Botingbla
Northern,Savelugu Municipal District,Wantugu
Northern,Sagnerigu,Pelliyong
Northern,Sagnerigu,Salamba
Northern,Kumbumgu,Tindanpayili
Northern,Savelugu Municipal District,Savelugu Middle Boarding School
Ashanti,Offinso Municipal District,Ahwiaa
Upper East,Unknown,Sankasi
Upper East,Bawku Municipal District,Bawku Morgo
Upper East,Pusiga,Kugasego
Upper East,Pusiga,Siarin
Upper East,Bawku Municipal District,Nyorigo
Upper East,Unknown,Pulimakom
Upper East,Unknown,Belemtanga
Upper East,Pusiga,Bosal
Upper East,Pusiga,Widana
Upper East,Pusiga,Tendana
Upper East,Pusiga,Kogadim
Upper East,Pusiga,Ninkogo
Upper East,Pusiga,Sanda
Upper East,Unknown,Wisiga
Upper East,Bawku Municipal District,Morgo
Upper East,Pusiga,Akonrekuliga
Upper East,Pusiga,Daka
Upper East,Pusiga,Kanjama
Upper East,Garu District,Susuri
Northern,Sagnerigu,Tamale Old
Western,Wassa Amenfi West,Samreboi
Upper East,Bolgatanga Municipal District,Navrongo Southeast
Central,Unknown,Obiliakua
Greater Accra,Ga South,Wiaboman
Western,Wassa Amenfi Central,Subri
Western,Wassa Amenfi Central,Subin
Ashanti,Atwima Mponua,Ntobroso
Upper West,Nandom,Panyani
Western,Unknown,Moshiehenekurom
Ashanti,Ahafo Ano South,Pewodee
Ashanti,Ahafo Ano North,Sikafremoja
Western,Unknown,Nyamebekyere
Ashanti,Adansi South,Subin
Central,Twifo Ati-Morkwa,Yaowusukrom
Central,Assin North,Ajuom
Ashanti,Adansi North,Ofoasi
Ashanti,Adansi North,Nkwanta
Ashanti,Obuasi,Brofoyedru
Ashanti,Adansi North,Edwenase
Ashanti,Bekwai,Meduma
Ashanti,Bekwai,Bisiasi
Ashanti,Kumasi,Subin
Ashanti,Bosomtwe,Edumasa
Western,Ahanta West,Akyinim
Western,Mpohor,Aboabo
Western,Mpohor,Edum
Western,Tarkwa Nsuaem,Subri
Western,Mpohor,Kokofu
Western,Mpohor,Adansi Kakraba
Western,Tarkwa Nsuaem,Neung Forest Reserve
Western,Mpohor,Amanten
Western,Prestea-Huni Valley,Ayiresu
Western,Wassa Amenfi East,Enifufu
Western,Wassa Amenfi East,Kafodidi
Central,Upper Denkyira East,Anwiafutu
Central,Upper Denkyira East,Nzima
Central,Upper Denkyira East,Subin
Central,Upper Denkyira East,Merechu
Ashanti,Adansi South,Abesiwa
Ashanti,Adansi South,Number Two
Ashanti,Atwima Mponua,Enikawkaw
Ashanti,Atwima Nwabiagya,Sensu
Ashanti,Amansie West,Subia
Ashanti,Ahafo Ano South,Tinte Bepo Forest Reserve
Ashanti,Ahafo Ano South,Apunapunu
Ashanti,Ahafo Ano South,Eburaso
Ashanti,Ahafo Ano South,Bepawso
Ashanti,Atwima Nwabiagya,Odeso
Ashanti,Atwima Nwabiagya,Amoakukrom
Ahafo,Tano South,Sabom
Ashanti,Atwima Nwabiagya,Kokobin
Ashanti,Kwabre District,Manhyia
Ashanti,Afigya-Kwabre District,Nsokwa
Ashanti,Offinso Municipal District,Nyamibechere
Ashanti,Sekyere South,Ayebo
Ashanti,Sekyere South,Mankawnahugono
Ashanti,Afigya-Kwabre District,Esaase
